   PK  Created    Process label                Process State     Process status
-----  ---------  ---------------------------  ----------------  -----------------------------------------
52037  15h ago    KkrimpCalculation            ⏹ Finished [0]
52038  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
52039  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
52042  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
52047  15h ago    combine_potentials_cf        ⏹ Finished [0]
52054  15h ago    combine_potentials_cf        ⏹ Finished [0]
52056  15h ago    combine_potentials_cf        ⏹ Finished [0]
52057  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
52062  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52064  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
52065  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
52068  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52070  15h ago    KkrimpCalculation            ⏹ Finished [0]
52072  15h ago    KkrimpCalculation            ⏹ Finished [0]
52075  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52076  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
52077  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
52084  15h ago    KkrimpCalculation            ⏹ Finished [0]
52086  15h ago    combine_potentials_cf        ⏹ Finished [0]
52090  15h ago    combine_potentials_cf        ⏹ Finished [0]
52092  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
52094  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52097  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52099  15h ago    KkrimpCalculation            ⏹ Finished [0]
52103  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52105  15h ago    KkrimpCalculation            ⏹ Finished [0]
52106  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
52108  15h ago    KkrimpCalculation            ⏹ Finished [0]
52121  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
52113  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
